runnum launchtime launch gpuCTag positrons calo12ratio
367 -1 -1 8640 -1 0.991827
368 -1 -1 3192 -1 0.991797
369 -1 -1 -1 -1 -1
370 -1 -1 -1 -1 -1
371 -1 -1 -1 -1 -1
372 -1 -1 -1 -1 -1
373 -1 -1 5808 -1 0.994009
374 -1 -1 -1 -1 -1
375 -1 -1 -1 -1 -1
376 -1 -1 8303 -1 1.03939
377 -1 -1 8303 -1 1.03966
378 -1 -1 7751 -1 1.03949
379 -1 -1 8027 -1 1.03968
380 -1 -1 -1 -1 -1
381 -1 -1 8271 -1 1.08528
382 -1 -1 264 -1 1.08596
383 -1 -1 528 -1 1.08656
384 -1 -1 528 -1 1.08672
385 -1 -1 528 -1 1.08669
386 -1 -1 264 -1 1.0859
387 -1 -1 7699 -1 1.08659
388 -1 -1 4268 -1 1.04092
389 -1 -1 7942 -1 1.07566
390 -1 -1 528 -1 1.08602
391 -1 -1 2661 -1 1.08469
392 -1 -1 528 -1 1.08472
393 -1 -1 2662 -1 1.09372
394 -1 -1 264 -1 1.09319
395 -1 -1 -1 -1 -1
396 -1 -1 286 -1 1.09524
397 -1 -1 286 -1 1.09524
398 -1 -1 286 -1 1.09524
399 -1 -1 264 -1 1.09524
400 -1 -1 264 -1 1.09377
401 -1 -1 7744 -1 1.09368
402 -1 -1 7700 -1 1.0938
403 -1 -1 7942 -1 1.09368
404 -1 -1 8448 -1 1.09377
405 -1 -1 1342 -1 1.0934
406 -1 -1 8470 -1 1.09358
407 -1 -1 7436 -1 1.09371
408 -1 -1 7942 -1 1.09361
409 -1 -1 3718 -1 1.0936
410 -1 -1 550 -1 1.09369
411 -1 -1 528 -1 1.09438
412 -1 -1 -1 -1 -1
413 -1 -1 264 -1 1.09424
414 -1 -1 7964 -1 1.09389
415 -1 -1 -1 -1 -1
416 -1 -1 -1 -1 -1
417 -1 -1 0 -1 -nan
418 -1 -1 3366 -1 1.09471
419 -1 -1 -1 -1 -1
420 -1 -1 7370 -1 1.09449
421 -1 -1 264 -1 1.09405
422 -1 -1 2662 -1 1.0898
423 -1 -1 550 -1 1.09436
424 -1 -1 264 -1 1.09399
425 -1 -1 1056 -1 1.0944
426 -1 -1 6094 -1 1.09438
427 -1 -1 7304 -1 1.09313
428 -1 -1 6908 -1 1.09405
429 -1 -1 6600 -1 1.09478
430 -1 -1 2398 -1 1.09524
431 -1 -1 6886 -1 1.09524
432 -1 -1 6358 -1 1.09524
433 -1 -1 7260 -1 1.09524
434 -1 -1 6908 -1 1.09524
435 -1 -1 7040 -1 1.09524
436 -1 -1 6666 -1 1.09524
437 -1 -1 6886 -1 1.09524
438 -1 -1 6886 -1 1.09524
439 -1 -1 6710 -1 1.09524
440 -1 -1 6930 -1 1.09524
441 -1 -1 1342 -1 1.09524
442 -1 -1 -1 -1 -1
443 -1 -1 -1 -1 -1
444 -1 -1 -1 -1 -1
445 -1 -1 -1 -1 -1
446 -1 -1 6886 -1 1.09524
447 -1 -1 6885 -1 1.09524
448 -1 -1 6820 -1 1.08882
449 -1 -1 4774 -1 1.09524
450 -1 -1 2178 -1 1.09524
451 -1 -1 264 -1 1.09524
452 -1 -1 6380 -1 1.09524
453 -1 -1 5741 -1 1.09524
454 -1 -1 6899 -1 1.02677
455 -1 -1 1464 -1 0.999997
456 -1 -1 -1 -1 -1
457 -1 -1 8112 -1 1
458 -1 -1 -1 -1 -1
459 -1 -1 1464 -1 1
460 -1 -1 -1 -1 -1
461 -1 -1 600 -1 1
462 -1 -1 288 -1 1
463 -1 -1 1152 -1 1
464 -1 -1 -1 -1 -1
465 -1 -1 -1 -1 -1
466 -1 -1 -1 -1 -1
467 -1 -1 864 -1 1
468 -1 -1 1176 -1 1
469 -1 -1 1776 -1 1
470 -1 -1 288 -1 1
471 -1 -1 1464 -1 1
472 -1 -1 288 -1 1
473 -1 -1 312 -1 1
474 -1 -1 288 -1 1
475 -1 -1 288 -1 1
476 -1 -1 288 -1 1
477 -1 -1 288 -1 1
478 -1 -1 312 -1 1
479 -1 -1 1152 -1 1
480 -1 -1 5592 -1 0.999999
481 -1 -1 0 -1 -nan
482 -1 -1 888 -1 1
483 -1 -1 -1 -1 -1
484 -1 -1 -1 -1 -1
485 -1 -1 288 -1 1
486 -1 -1 8328 -1 1
487 -1 -1 7893 -1 0.999999
488 -1 -1 288 -1 1
489 -1 -1 -1 -1 -1
490 -1 -1 288 -1 1
491 -1 -1 1512 -1 1
492 -1 -1 0 -1 -nan
493 -1 -1 1440 -1 1
494 -1 -1 8448 -1 1
495 -1 -1 4272 -1 1
496 -1 -1 -1 -1 -1
497 -1 -1 7800 -1 1
498 -1 -1 288 -1 1
499 -1 -1 576 -1 1
500 -1 -1 1176 -1 1
501 -1 -1 1728 -1 1
502 -1 -1 4360 -1 1
503 -1 -1 -1 -1 -1
504 -1 -1 119 -1 -nan
505 -1 -1 1185 -1 0
506 -1 -1 1095 -1 -nan
507 -1 -1 521 -1 -nan
508 215600 33 1071 9 0
509 215600 65 2093 10 0
510 277200 42 1080 3 0
511 266000 50 2050 16 4.92857
512 -1 -1 1026 -1 -nan
513 260400 40 1040 4 0
514 -1 -1 0 -1 -nan
515 -1 -1 1072 -1 0
516 260400 651 1139 6 0
517 277200 3 325 0 -nan
518 -1 -1 -1 -1 -1
519 271600 13 711 1 0
520 266000 102 708 1 0
521 260400 120 707 0 -nan
522 -1 -1 380 -1 -nan
523 254800 507 1162 10 2.3
524 254800 568 1048 3 0
525 260400 373 1118 1 0
526 277200 747 1498 13 0
527 277200 623 1109 6 4.6
528 271600 334 662 4 0
529 254800 26 282 0 -nan
530 294000 30 0 0 -nan
531 260400 97 566 0 -nan
532 260400 434 751 0 -nan
533 -1 -1 3684 -1 0
534 277200 145 402 5 0
535 -1 -1 370 -1 0
536 266000 39 407 0 -nan
537 -1 -1 381 -1 -nan
538 254800 34 410 0 -nan
539 -1 -1 410 -1 0
540 254800 66 390 1 inf
541 -1 -1 356 -1 0
542 282800 33 373 1 0
543 -1 -1 381 -1 0
544 -1 -1 380 -1 0
545 -1 -1 386 -1 -nan
546 -1 -1 6257 -1 0
547 -1 -1 3468 -1 0
548 -1 -1 1163 -1 0
549 -1 -1 1222 -1 0
550 -1 -1 1941 -1 0
551 -1 -1 852 -1 0
552 282800 155 427 4 0
553 294000 188 417 4 0
554 299600 155 456 8 3.28571
555 277200 381 435 3 0
556 249200 589 442 6 0
557 238000 283 0 2 0
558 232400 893 0 3 11.5
559 -1 -1 -1 -1 -1
560 238000 1326 830 1 0
561 238000 362 424 0 -nan
562 238000 867 447 3 0
563 243600 1580 849 0 0
564 243600 621 450 2 0
565 249200 855 426 1 0
566 232400 1059 433 3 0
567 249200 1099 421 1 0
568 238000 2963 1831 7 0
569 238000 4664 1792 8 0
570 232400 21649 5376 76 0.907895
571 238000 14575 2544 47 2.5
572 238000 4007 970 8 0
573 238000 3777 930 12 0
574 238000 3464 480 17 0
575 243600 4136 434 5 4.6
576 215600 2008 894 3 0
577 232400 5865 899 16 4.05882
578 243600 23694 2706 65 1.04545
579 -1 -1 2636 -1 0
580 -1 -1 2971 -1 -nan
581 243600 3224 427 10 0
582 243600 20673 3192 64 0.333333
583 243600 14058 1698 51 1.38
584 238000 1040 505 3 0
585 -1 -1 463 -1 0
586 -1 -1 423 -1 -nan
587 243600 3381 885 13 0
588 243600 922 434 1 0
589 238000 3079 960 8 0
590 232400 3134 857 8 0
591 254800 1137 1451 2 0
592 232400 3621 897 12 1.76923
593 238000 3338 916 11 0
594 238000 2061 404 9 0
595 232400 2607 954 8 0
596 238000 9335 2316 40 0.547619
597 232400 3831 902 45 1
598 232400 4413 919 26 0.851852
599 238000 3684 862 10 3.28571
600 238000 4612 889 23 1
601 238000 2349 879 5 0
602 -1 -1 -1 -1 -1
603 232400 1889 869 5 4.6
604 232400 2344 889 3 0
605 232400 4048 917 15 0
606 232400 2145 922 21 0
607 -1 -1 -1 -1 -1
608 238000 4332 1322 44 0.5
609 238000 3016 851 49 1.46809
610 238000 4289 845 33 0.71875
611 232400 4979 949 39 1.24324
612 277200 2510 1451 23 0
613 260400 643 434 8 0
614 277200 549 443 6 4.6
615 277200 1539 1325 11 1.76923
616 277200 2286 1417 31 0.766667
617 -1 -1 4028 -1 1.30189
618 -1 -1 5362 -1 0.410714
619 -1 -1 883 -1 0
620 -1 -1 456 -1 0
621 -1 -1 436 -1 0
622 -1 -1 469 -1 0
623 -1 -1 439 -1 0
624 -1 -1 -1 -1 -1
625 -1 -1 863 -1 0
626 -1 -1 475 -1 11.5
627 -1 -1 453 -1 0
628 -1 -1 840 -1 0
629 -1 -1 -1 -1 -1
630 -1 -1 897 -1 0
631 -1 -1 1241 -1 0
632 -1 -1 880 -1 0
633 -1 -1 885 -1 0
634 -1 -1 457 -1 0
635 -1 -1 413 -1 0
636 -1 -1 846 -1 2.55556
637 -1 -1 414 -1 -nan
638 -1 -1 1220 -1 0
639 -1 -1 0 -1 -nan
640 -1 -1 134 -1 -nan
641 -1 -1 770 -1 -nan
642 -1 -1 160 -1 -nan
643 -1 -1 1039 -1 -nan
644 -1 -1 -1 -1 -1
645 378000 38 2476 0 -nan
646 -1 -1 413 -1 -nan
647 -1 -1 -1 -1 -1
648 -1 -1 -1 -1 -1
649 -1 -1 -1 -1 -1
650 -1 -1 0 -1 -nan
651 -1 -1 361 -1 -nan
652 -1 -1 128 -1 -nan
653 -1 -1 52 -1 -nan
654 -1 -1 50 -1 -nan
655 -1 -1 51 -1 -nan
656 -1 -1 38 -1 -nan
657 -1 -1 52 -1 -nan
658 -1 -1 56 -1 -nan
659 -1 -1 44 -1 -nan
660 -1 -1 0 -1 -nan
661 -1 -1 146 -1 -nan
662 -1 -1 -1 -1 -1
663 -1 -1 -1 -1 -1
664 -1 -1 85 -1 -nan
665 -1 -1 118 -1 -nan
666 -1 -1 145 -1 -nan
667 -1 -1 134 -1 -nan
668 -1 -1 1510 -1 0
669 -1 -1 5205 -1 1.76923
670 -1 -1 -1 -1 -1
671 -1 -1 -1 -1 -1
672 -1 -1 -1 -1 -1
673 -1 -1 1049 -1 0
674 -1 -1 -1 -1 -1
675 -1 -1 -1 -1 -1
676 -1 -1 1080 -1 0
677 -1 -1 1041 -1 0
678 -1 -1 522 -1 5.75
679 -1 -1 542 -1 5.75
680 -1 -1 569 -1 0
681 -1 -1 -1 -1 -1
682 -1 -1 564 -1 -nan
683 -1 -1 529 -1 0
684 -1 -1 519 -1 0
685 -1 -1 521 -1 0
686 -1 -1 522 -1 0
687 -1 -1 561 -1 0
688 -1 -1 563 -1 0
689 -1 -1 522 -1 0
690 -1 -1 527 -1 0
691 -1 -1 -1 -1 -1
692 -1 -1 564 -1 0
693 -1 -1 704 -1 -nan
694 -1 -1 334 -1 -nan
695 -1 -1 670 -1 0
696 -1 -1 -1 -1 -1
697 -1 -1 632 -1 -nan
698 -1 -1 0 -1 -nan
699 271600 60 1701 1 0
700 198800 9035 2861 69 0.613333
701 -1 -1 -1 -1 -1
702 204400 37798 8693 983 1.65328
703 204400 50621 11291 1343 1.17186
704 204400 59549 11309 1555 1.39855
705 198800 45738 9393 1106 1.21165
706 204400 28746 5418 584 0.907376
707 204400 2829 1109 70 1.94366
708 198800 6329 562 37 1.24324
709 198800 4827 549 22 1.04545
710 198800 3998 526 18 0
711 198800 6735 1122 50 0.45098
712 198800 7460 1113 49 0.938776
713 198800 25924 2685 121 2.12605
714 198800 8918 2167 48 0.92
715 198800 7792 1561 40 1.15
716 -1 -1 -1 -1 -1
717 -1 -1 502 -1 -nan
718 -1 -1 6629 -1 0
719 -1 -1 0 -1 -nan
720 -1 -1 -1 -1 -1
721 -1 -1 0 -1 -nan
722 -1 -1 0 -1 -nan
723 -1 -1 9841 -1 -nan
724 -1 -1 10499 -1 -nan
725 -1 -1 10568 -1 -nan
726 -1 -1 -1 -1 -1
727 -1 -1 10949 -1 -nan
728 -1 -1 2883 -1 -nan
729 -1 -1 0 -1 -nan
730 -1 -1 -1 -1 -1
731 -1 -1 -1 -1 -1
732 -1 -1 -1 -1 -1
733 -1 -1 0 -1 -nan
734 -1 -1 0 -1 -nan
735 -1 -1 -1 -1 -1
736 -1 -1 0 -1 -nan
737 -1 -1 0 -1 -nan
738 -1 -1 0 -1 -nan
739 -1 -1 0 -1 -nan
740 -1 -1 0 -1 -nan
741 -1 -1 0 -1 -nan
